GeneName	tSNE_1	tSNE_2	x	GZMK_Opacity	GZMK_Expr	GZMK_Color
TTS26-0205	39.6584073588394	-16.8393430447809	4	0.1	0.0	#ffffff
PTC152-0322	-36.2491039580083	-7.2843104181799	0	0.23665959883602672	990.619894942865	#ffd9d9
NTH121-0322	-16.5772974175732	23.8845067190594	0	0.1	0.0	#ffffff
NTC136-1116	27.4927963464528	-39.2385354247433	9	0.2444206328864033	1046.8781805014	#ffd7d7
NTR82-0407	-12.5439256686093	2.58236840624729	0	0.41973607740333185	2317.70707732557	#ffa5a5
PTC40-0205	-17.7578242244813	-21.6021134527347	2	0.1	0.0	#ffffff
TTR236-0407	-3.12448025469793	25.1490848333277	1	0.1	0.0	#ffffff
TTS1-28-0508	37.9413156009497	-5.40005231678955	4	0.1	0.0	#ffffff
TTC14-0322	-29.8541758505374	-3.88579344806602	0	0.7265551764669028	4541.78139240905	#ff4e4e
TTC106-1116	-30.2960137665339	-6.85236776818647	0	1.0	11101.1196237118	#ff0000
TTC105-0407	3.43905878519312	-11.6897766059674	5	0.9419157130935367	6102.88967887413	#ff1111
TTH86-1116	-4.34142188578947	26.6726967441636	0	0.10058666902676403	4.25265414657425	#ffffff
JTC-9-0508	-9.11359562224945	-25.1081358917353	7	0.2295790013043249	939.293966557818	#ffdbdb
PTH15-0407	-8.45088636628343	41.9511548932823	1	0.1003456111451654	2.50527060836481	#ffffff
PTR92-0407	-10.7614513856508	25.1637845780005	0	0.2851294042240473	1341.96845684662	#ffcbcb
TTS109-0205	40.4899481035607	-15.9564383561046	4	0.1	0.0	#ffffff
PTC123-0205	-13.7762348345381	-17.844287195093	2	0.776887377881424	4906.63011509059	#ff4040
TTR58-0322	25.1514287829206	-15.1046012372477	8	0.1	0.0	#ffffff
TTH141-0322	-7.58367057550223	-5.95889022889765	6	1.0	7342.61228143152	#ff0000
TTH56-0322	-31.472456640267	17.4099172039449	0	0.3167038032613839	1570.84537528965	#ffc2c2
JTH-49-0508	12.073234045635	12.3574328063131	3	0.1	0.0	#ffffff
PTR18-1116	6.83464122985613	29.9249893988091	1	0.1	0.0	#ffffff
JTC-52-0508	0.654785731522388	-17.7993768040651	7	0.1	0.0	#ffffff
PTS135-0205	35.0132823668466	22.2142395466615	3	0.1	0.0	#ffffff
TTH1-39-0508	-23.058314920916	-23.4682253209991	2	0.1	0.0	#ffffff
PTH16-1116	-37.3519189407797	-10.3194019415587	2	0.1	0.0	#ffffff
TTH156-0508	28.9880843935798	-7.2136704898896	4	0.1	0.0	#ffffff
JTS-64-0508	-0.385616083672422	-0.309020603736291	6	0.1	0.0	#ffffff
NTC156-0322	-38.9971364884461	11.2656200867	5	0.4538295701533811	2564.84443535933	#ff9b9b
PTC97-0205	-13.4189231329909	-16.6844440656548	2	1.0	6973.1994606387	#ff0000
PTC132-1116	-40.1557646265756	-27.3854666842556	2	0.10027420542897376	1.98766391498536	#ffffff
TTR38-1116	31.9646408333828	-37.5433599870256	9	0.24649125760481275	1061.88775215599	#ffd6d6
NTC95-0407	-40.4098615448284	7.97350239697321	5	0.8401888550144363	5365.49069394004	#ff2e2e
TTC2-51-0508	2.16899969991061	-17.5470279795605	7	0.3387261632072277	1730.48134730887	#ffbcbc
TTC29-0508	-3.13587246408841	-41.2443544499897	7	0.1	0.0	#ffffff
PTH36-0322	4.04654030741399	33.1029034335953	0	0.1	0.0	#ffffff
PTC189-1116	-40.4468031349693	-16.806642004505	2	0.10023621236379018	1.71225928507806	#ffffff
PTC9-0508	36.4306084615003	17.6973789397372	3	0.1	0.0	#ffffff
TTR164-0407	-11.7676780644033	1.96699224194022	0	0.8321717810708729	5307.37642304092	#ff3030
TTC22-0508	-3.31509642116664	-39.9306274489482	7	0.1	0.0	#ffffff
NTH171-0322	-11.9559900623643	23.052036096623	0	0.6978623855311408	4333.79271262003	#ff5656
TTS1-78-0508	32.6081348861267	-0.178623306042196	4	0.1	0.0	#ffffff
PTR42-0407	-20.0847276016944	21.1375919023873	0	0.1449246432346466	325.650343923878	#fff3f3
PTS1-2-0508	17.4823561521526	27.3119101131636	3	0.1	0.0	#ffffff
TTH77-0205	11.142777625517	2.80281708080254	6	0.1	0.0	#ffffff
TTR139-0407	-15.6300602002205	6.51068533037086	0	0.7748030738469369	4891.52138462995	#ff4040
TTH85-0407	-30.1137925303072	-3.66815528444834	0	1.0	8485.08081482536	#ff0000
TTR185-0322	30.2450755636411	-22.7799773733668	8	0.1	0.0	#ffffff
TTC10-0205	-0.914848492524664	-40.8832575560981	7	0.1	0.0	#ffffff
TTC64-0322	6.81658395203551	-32.168814767106	11	0.1	0.0	#ffffff
NTH178-0322	-37.2434862549107	-6.78026422548511	2	0.1	0.0	#ffffff
TTR143-0508	35.829508339178	-9.17530058371183	4	0.1	0.0	#ffffff
NTR32-0407	-20.7372596356098	20.3965903652535	0	0.1003209511704892	2.32651506004554	#ffffff
PTH65-0407	0.451000078790337	43.8022053146715	1	0.10032751726488526	2.37411145134336	#ffffff
TTH120-0407	-27.3587850957311	2.86181762647417	0	0.6731860172759256	4154.91833030984	#ff5d5d
PTH57-0205	29.5051476823361	28.7857295293634	3	0.1	0.0	#ffffff
PTH5-0407	0.202728483781103	39.9573228118496	1	0.1	0.0	#ffffff
TTH191-0322	-34.7867571691713	-24.1798216327258	2	0.1	0.0	#ffffff
NTH34-0508	1.88499306493276	-3.5402718268507	6	0.1672226666162888	487.284548677103	#ffecec
NTC49-0508	0.759384978828406	-17.9914885632423	5	0.1	0.0	#ffffff
JTC-2-0508	-2.94065583218995	-26.4642415805567	7	0.24237314056837	1032.03629129448	#ffd7d7
TTR103-0322	19.8074985098404	-16.8349261685047	8	0.1	0.0	#ffffff
TTC122-0205	2.14062303261081	-29.3780944930668	7	0.18030306344059582	582.101900976326	#ffe9e9
PTC159-0322	-41.2746575101837	-5.75723351080487	0	1.0	6743.36595123706	#ff0000
TTH1-89-0508	25.7093170009007	14.9725937156106	3	0.1	0.0	#ffffff
NTH100-0407	-7.3060665361488	27.50994096856	0	0.53077302662558	3122.59317321774	#ff8585
TTR118-0508	25.695859011989	-10.480802670978	4	0.1	0.0	#ffffff
TTR114-0407	18.1136054767261	-18.1512178959753	8	0.10082639801203444	5.99040476362589	#ffffff
TTC176-0322	-16.6645293695449	4.54455541740545	5	0.11628055914625306	118.014730969784	#fffbfb
PTR6-1116	-9.09755875706566	39.0672605007217	1	0.1	0.0	#ffffff
PTC182-1116	-40.728354824725	-23.4684444069155	2	0.1	0.0	#ffffff
NTH157-0407	-28.4968072652953	2.56879220304722	0	0.6681899126896227	4118.70250176533	#ff5f5f
TTC79-0508	-3.74897444109527	-38.2684481801375	7	0.1	0.0	#ffffff
NTC45-0407	-13.2239705483194	1.4921301768249	5	1.0	7068.08297364437	#ff0000
PTC47-0205	6.06218235432883	39.9738351249007	1	0.1	0.0	#ffffff
PTH3-6-0508	36.2605776711339	23.4929661378152	3	0.10039675457041723	2.87599974105296	#ffffff
TTH1-32-0508	21.2561923557228	-4.07920704362339	4	0.1	0.0	#ffffff
NTC106-0322	-37.7735037585262	-23.4256682596953	2	0.1	0.0	#ffffff
PTC102-0322	2.1139546136393	33.934859576898	1	0.1	0.0	#ffffff
NTC186-1116	-22.1487083343301	-14.3989835290279	0	0.1	0.0	#ffffff
PTH9-0508	14.1724414997562	16.3410878765486	3	0.44889670380128976	2529.08700895755	#ff9d9d
TTH52-0205	9.36426506414396	-3.78605883420497	6	0.10117538002146911	8.52011013717913	#ffffff
JTH-42-0508	-17.5968164322958	-24.2398392143356	2	0.1	0.0	#ffffff
TTR51-0322	23.8014031147931	-25.8344158432964	8	0.1	0.0	#ffffff
TTR135-0322	27.795669831833	-28.107678192718	8	0.1	0.0	#ffffff
TTC67-0205	-1.26328734115214	-32.6463763583897	7	0.1	0.0	#ffffff
PTR67-0407	-1.491515746511	42.5349300365563	1	0.10037928407398018	2.74935937702087	#ffffff
TTC72-0508	-25.3813118514471	-27.9277174885416	2	0.1	0.0	#ffffff
PTH32-0205	-12.5166435980782	-5.6561844070669	2	0.5426446442920773	3208.64831128161	#ff8282
PTR11-1116	-10.5123224944944	40.1230640329534	1	0.1	0.0	#ffffff
PTC127-0322	-36.5117759702297	7.42768066747491	5	0.1	0.0	#ffffff
PTH124-0322	-33.6287852474566	-1.84058623611255	2	0.3272846577271773	1647.54401211125	#ffbfbf
NTH182-0407	8.16768262033392	4.56387073121478	5	0.4806704631651152	2759.40905315365	#ff9494
PTR31-0322	-0.806914521335418	17.2671353647356	1	0.1	0.0	#ffffff
JTC-77-0508	-6.47373296329552	-22.7640217348328	7	0.8693852800478218	5577.13012319069	#ff2626
PTH3-14-0508	28.2184957652009	21.3768956610768	3	0.1	0.0	#ffffff
NTC181-0322	1.21827437897225	-9.41242657405471	5	0.622984205674765	3791.01477901994	#ff6b6b
TTS1-53-0508	29.5727036660367	1.87998018081365	4	0.1	0.0	#ffffff
NTC24-0508	4.08734128076138	-10.5467528642869	5	0.4121472491839365	2262.69707965642	#ffa7a7
TTR33-0322	21.0399023766031	-30.707776547098	8	0.1	0.0	#ffffff
PTC23-0407	-40.9027967823383	-10.2320764475808	0	0.32340661290100364	1619.43278984067	#ffc0c0
TTH181-0508	28.2617972561721	-6.10280388726062	4	0.1	0.0	#ffffff
TTR168-0508	26.8563635990587	1.20623426027293	4	0.1	0.0	#ffffff
NTR58-1116	15.81019670985	-17.7645069802939	8	0.1	0.0	#ffffff
NTH128-0322	-23.5829274098878	21.9063350479944	0	0.4335464227033651	2417.81568972285	#ffa1a1
JTH-24-0508	5.05474435331054	-1.0628869362578	6	0.378908775097203	2021.7575921392	#ffb0b0
TTR13-1116	16.0318195372535	-30.8873502324786	0	0.1	0.0	#ffffff
PTH19-0508	33.3646172018395	24.7878194021297	3	0.1	0.0	#ffffff
NTR89-0407	-32.2402679825676	9.32671442794242	0	0.43056057268078063	2396.1718208627	#ffa2a2
TTC43-0407	-45.2420251509894	6.79512121961274	0	1.0	10969.8384814425	#ff0000
NTC110-0407	-35.0852541310878	-12.6060283562779	0	1.0	8244.14385964748	#ff0000
TTR211-0407	-29.1400816051963	13.5635472292581	0	0.20282466506641014	745.356782642404	#ffe2e2
PTH91-1116	3.33908886088401	45.548849864045	1	0.1	0.0	#ffffff
PTC2-77-0508	33.734720780665	18.2915912181918	3	0.1	0.0	#ffffff
TTH152-0407	-19.8311687293417	9.83845718020999	0	0.9944825573571082	6483.93690998988	#ff0202
PTH149-0322	0.762473806762766	37.0809909727602	1	0.1	0.0	#ffffff
PTS3-53-0508	26.9080733369461	20.7375855875873	3	0.1	0.0	#ffffff
PTC2-52-0508	36.6955814091624	17.6781287834594	3	0.1	0.0	#ffffff
TTR161-0508	25.4824904252165	-10.464095401796	4	0.1	0.0	#ffffff
PTC26-0322	19.8294691101152	0.525891713447973	0	0.1	0.0	#ffffff
TTS1-1-0508	39.9958937624301	-16.3888315750804	4	0.1	0.0	#ffffff
NTC63-0407	-31.1481526542157	1.35043836979869	0	0.1024903298469046	18.051935702473	#ffffff
TTR132-0407	-21.0172171326627	11.5421214759384	0	1.0	10835.8455263981	#ff0000
NTC2-24-0508	-3.80760144985105	-29.0410500350163	7	1.0	9517.54065100377	#ff0000
TTH1-14-0508	13.8064605555595	12.1559476147225	3	0.1	0.0	#ffffff
PTR38-0322	7.34613511689395	29.7773120185923	1	0.1	0.0	#ffffff
PTC65-0205	-7.14765689883276	-11.8275057275703	2	0.2757202736297384	1273.76342741417	#ffcece
PTR1-0322	-1.29386522405538	22.7273368824934	1	0.1	0.0	#ffffff
NTH2-40-0508	13.4976953464752	-2.22310406795463	4	0.1	0.0	#ffffff
PTC2-59-0508	-26.8131372145052	-32.3297423667118	2	0.1	0.0	#ffffff
JTS-14-0508	32.0327576844069	0.295237131068138	4	0.1	0.0	#ffffff
PTR49-0407	-20.0443629227986	28.774117906327	0	0.8751218274421596	5618.71328328713	#ff2424
NTH56-1116	-37.9784636681746	-9.00451430182387	2	0.10044384365694416	3.21733972994196	#ffffff
PTR93-1116	6.16034063649792	31.0563318463787	1	0.1	0.0	#ffffff
TTC85-0205	-19.5821973582266	-31.4249896894994	2	0.1	0.0	#ffffff
PTR13-0322	-1.49649563771851	44.3849731662724	1	0.1	0.0	#ffffff
