"tSNE_1"	"tSNE_2"
"PTH13"	43.0103624037563	6.86181031360662
"PTH1"	43.9453995838313	6.95880646608664
"PTH20"	27.1384955168389	11.2611434644065
"PTH26"	42.6272159664236	6.92848648386665
"PTH5"	44.6374899792993	6.63907549702494
"PTH8"	41.8542569056306	6.4639597219077
"TTH22"	45.1375528125847	6.20010995553641
"TTH28"	45.0172615154761	6.18659742137136
"TTH2"	45.1840569908811	5.64688691490408
"TTH37"	43.1884914566823	4.22007834272307
"TTH48"	43.2733677275621	5.22783313648205
"TTH4"	43.7965502215144	5.52658894819532
"PTH44"	-9.50125613180122	-8.28547964277146
"TTH11"	44.3538321948942	6.86160880056446
"TTH15"	42.2748611291819	6.34909981017226
"TTH17"	45.429518912904	5.69789689077273
"TTH26"	45.9733880532028	4.69311748724391
"TTH31"	43.2122284327192	3.37808605450775
"TTH39"	45.2742866548851	6.18583916579384
"TTH43"	45.4844005040245	6.15418767474997
"TTH45"	42.3466746354121	5.6622424980468
"TTH8"	45.6688910777184	5.28150777822335
"PTC141-0205"	-14.9448067468217	-7.93372209061024
"PTC142-0205"	-32.0605439107112	-12.8158904908681
"PTC143-0205"	3.04005325490721	24.9862164493653
"PTC144-0205"	-35.7025519891014	-15.6692839164646
"PTC16-0205"	-23.2537454157908	11.2635985881347
"PTC23-0205"	-27.2447228499089	-19.4327642120706
"TTC100-0205"	-6.32237410472687	-26.252887580227
"TTC10-0205"	-5.64643171470409	-29.567742295242
"TTC2-0205"	-0.26112134911369	-12.0784072873143
"TTC97-0205"	-13.6293112667275	10.2469175105754
"TTC98-0205"	-0.09708049883656	-11.2998510890476
"TTC99-0205"	-12.4407901567883	-20.5371854454285
"PTC10-0205"	-20.8104547312494	-16.8665171821112
"PTC10-1202"	41.1063522656142	6.21801052469404
"PTC11-0205"	-16.337374234161	-12.5070380004806
"PTC1-1202"	39.9167061600215	7.35164791025998
"PTC12-1202"	33.4990423427347	14.0914999430164
"PTC13-1202"	32.5888607747797	14.032926730041
"PTC14-1202"	40.7754214895645	7.039676269989
"PTC17-0205"	-11.7694709769305	-10.5885549873779
"PTC17-1202"	41.0643753421091	6.57276215315752
"PTC18-1202"	40.1338846211318	7.14929245502524
"PTC19-1202"	42.2689551421469	6.8111016781864
"PTC20-1202"	39.4225852901556	7.512557172176
"PTC21-1202"	40.8315606156506	6.73889544916026
"PTC2-1202"	40.0580517743958	7.18616984337392
"PTC22-1202"	39.3391698091404	7.5686516038959
"PTC23-1202"	39.3423881006367	7.56958216879709
"PTC24-0205"	-6.87774532096832	-7.78359448896321
"PTC24-1202"	32.6833225988812	11.5947613576932
"PTC25-0205"	-5.28990280982377	-7.65295154214316
"PTC26-0205"	28.8625896753898	13.9326804114815
"PTC27-0205"	-23.0753287460571	-18.6256963100831
"PTC29-0205"	-6.33236049587441	-7.65370242366152
"PTC3-0205"	-17.0549823320135	-13.3441185623332
"PTC34-0205"	27.4620814258898	11.929375601694
"PTC35-1202"	41.6890659329218	6.85011427241599
"PTC38-0205"	-20.595292091053	-16.0579994851139
"PTC38-1202"	32.6192557522188	11.5362311439441
"PTC40-1202"	9.76472455531862	16.6150372231749
"PTC4-0205"	-17.645173975897	-16.7667871266613
"PTC4-1202"	40.8594613428574	6.97751629168295
"PTC5-0205"	-26.7967423559949	-20.6249273478743
"PTC5-1202"	39.688307444366	7.40581811272448
"PTC6-0205"	-11.9926259788053	-10.7223607875584
"PTC6-1202"	39.7964485388772	7.33032710252106
"PTC7-1202"	39.5205929126561	7.44268219391527
"PTC8-0205"	-6.62789616660574	-8.19161754841256
"PTC8-1202"	27.6812381763971	11.6553563168673
"PTC9-0205"	-13.7127964879084	-12.7860205375936
"PTC9-1202"	42.869627719846	6.95790427424069
"PTH1-0205"	29.6806943803857	17.1716758686018
"PTH61-0205"	15.3378056495238	10.0386726332015
"PTH7-0205"	21.7007402107567	18.840832801773
"PTH8-0205"	21.197635551435	18.4975395580899
"PTH82-0205"	-10.5001027081383	15.5284612423856
"PTH9-0205"	21.0719993017285	19.4366442823269
"PTS1-0205"	30.9285326803904	19.6160516662759
"PTS13-0205"	22.4117204569175	21.2539583172175
"PTS22-1202"	42.9134667483517	6.73233946499981
"PTS24-1202"	43.1438030450892	7.01513403943555
"PTS26-1202"	42.8910281998536	6.33543702288709
"PTS28-1202"	43.9310416469343	6.87047622309304
"PTS29-1202"	43.6777662068515	7.04218023354464
"PTS30-1202"	43.187994149504	6.81576424242158
"PTS32-1202"	42.7772629394703	6.45825689443685
"PTS33-1202"	41.8672827687618	6.6889428432034
"PTS34-1202"	42.7291243771666	6.78142440315005
"PTS40-1202"	42.9347962541573	6.72891015594312
"PTS4-1202"	42.9474844056552	6.86319421295389
"PTS43-0205"	26.7452393059981	21.5871964469677
"PTS43-1202"	43.0606137410948	6.78176103449085
"PTS45-1202"	42.0692014411203	6.45085204494705
"PTS5-0205"	20.7321953664638	17.4761936892704
"PTS69-0205"	17.7686629477768	8.0308310046505
"PTS8-0205"	30.1264737167353	19.8117901186724
"TTC11-1202"	46.2567646902554	4.22451867695101
"TTC1-1202"	45.2553939517571	1.10935313508897
"TTC14-1202"	46.0113094902831	2.99162968472002
"TTC15-0205"	-4.03828812565488	-21.2974931986244
"TTC16-1202"	45.9938683577048	2.46953267593133
"TTC17-1202"	45.250543116725	1.11915147317698
"TTC19-1202"	9.88820708770442	-2.15331921345997
