""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S2"	0.382455846989542	0.352320326821106	0.372312920740589	0.352251552805794	0.330472343261659	0.385330133405814	0.237127783876558
"S3"	0.337629246056068	0.357336385525372	0.40427576149712	0.258956423696541	0.345244018585153	0.412057675557892	0.187972167728255
"S4"	0.366807969195398	0.39571948924128	0.430270231965855	0.327272838394551	0.370606159675132	0.456375852018558	0.22668428610569
"S5"	0.344774126729708	0.418558988311312	0.443603650670067	0.276702713159343	0.39028058041071	0.464568611954016	0.204866056143877
"S6"	0.367362976324269	0.382421444778279	0.378864120175168	0.352577584898357	0.352289719026775	0.395453780885039	0.223010673359692
"S7"	0.343105442133055	0.269638490408563	0.312504691513082	0.267541122781488	0.265971104646978	0.325262981304155	0.197920048703375
"S8"	0.385654558727616	0.39707096487553	0.443177384018183	0.357008919520502	0.390137377263043	0.469289668235179	0.26951866991919
"S9"	0.345581621521759	0.36066268045534	0.349055802792906	0.301137663931748	0.391670389849574	0.376299072622435	0.216444646690068
"S10"	0.38405600652385	0.427601304891122	0.407279369444791	0.348875225570589	0.392358106997242	0.436541756341272	0.257431689914755
"S11"	0.347899500557114	0.421789280243263	0.464300553323061	0.285068102015961	0.393320686158986	0.485770167917311	0.209674553840598
"S12"	0.361330056929289	0.387922578424155	0.44599446093969	0.332402765831575	0.383257067381176	0.459923138410248	0.245993480698939
"S13"	0.357450907193306	0.388941154805498	0.43835780931397	0.31423595775571	0.370188985527465	0.457307594299721	0.204679038881003
"S14"	0.339788747322177	0.383751218342497	0.449800141523283	0.257830206259517	0.371246042879108	0.466254417166202	0.194067773135005
"S15"	0.375602634789959	0.366543192708247	0.427155974470955	0.353238941133565	0.346775655291197	0.434673976949582	0.237471170321505
"S16"	0.381494905352553	0.396928385408617	0.426740428399292	0.348841362565727	0.368546420074304	0.44090745252094	0.250322904680116
"S17"	0.343134285756696	0.379022523356106	0.418197633592684	0.269645864688193	0.374640349129453	0.444944825373543	0.192917440395661
"S18"	0.35798618952385	0.412771224891122	0.468153368444791	0.317968311570589	0.394246799997242	0.485192317341272	0.220439825914754
"S19"	0.380105370989541	0.384772375821091	0.378353974740578	0.351948282805797	0.368544927261664	0.402285706405814	0.241373466876567
"S20"	0.34896036025565	0.385307204638215	0.451647753766742	0.294603821368773	0.374989391555619	0.482317381014125	0.232856025283318
"S21"	0.341551156098495	0.401166139470879	0.482685110333305	0.266121644197596	0.378433426156446	0.494992005511743	0.190564641708891
"S22"	0.355185426457323	0.392945627186841	0.47379088968825	0.302762260679845	0.375849933673753	0.491435668189194	0.204931075063067
"S23"	0.372395964656905	0.421025431299685	0.461654131957873	0.341692362352077	0.407651794644219	0.475106522645427	0.21620285861813
"S24"	0.350903726332636	0.427982078521407	0.468941732782706	0.32214962945372	0.400116066617444	0.482166783760388	0.225092865258438
"S25"	0.362304362122595	0.402423573229653	0.40688766525366	0.329315120587285	0.412284348908641	0.42537438270997	0.245765100579943
"S26"	0.345084920455231	0.380255655751059	0.466461934036365	0.284303043041004	0.366238104526085	0.486394777470357	0.18362843983838
"S27"	0.35442721183159	0.363363152803516	0.349247957956763	0.297798063134299	0.33792818704361	0.381853827400969	0.200640305146094
"S28"	0.376447790989541	0.419792611821091	0.407937579740578	0.346346797805797	0.402030671261664	0.428643588405814	0.220380563876567
"S29"	0.349514597189123	0.399580322933934	0.471608118010201	0.286243941478029	0.38125104023213	0.494777129862047	0.18049963443163
"S30"	0.33832232872134	0.399922088568184	0.48463188706253	0.27350149060398	0.394055742820041	0.496170904078667	0.178065959245131
"S31"	0.369029261191214	0.433636720369716	0.441148842662086	0.332873451116869	0.434317464379797	0.463505844580884	0.242367659656317
"S32"	0.368880547798327	0.378288665451375	0.407078946078493	0.301111261688927	0.351542424881866	0.42870255782493	0.222697332220251
"S33"	0.367017898120503	0.411619826793871	0.427640034601776	0.324237913948444	0.384634331760974	0.451589284991132	0.244908475355256
"S34"	0.351701848995816	0.376172389128437	0.468132139696231	0.308154662722319	0.374413115704665	0.470147577562326	0.228566972550627
"S35"	0.357581789388704	0.389116819046778	0.478522779279824	0.31174031215026	0.368613241202597	0.50096156931828	0.223391375986693
"S36"	0.396250462858578	0.38040785384831	0.46918433487938	0.36482123766315	0.359918277762353	0.477613592820496	0.267879492397879
"S37"	0.35768916952385	0.429958732891122	0.430276386444791	0.328719549570589	0.433390398997242	0.453118519341272	0.224273887914754
"S38"	0.38047272654088	0.402779966492312	0.374872001059115	0.337279416543435	0.377939700487554	0.390973292880523	0.2637916799557
"S39"	0.365733159596653	0.392620551902749	0.416869186156985	0.305641693377855	0.368640106763732	0.440393918649861	0.219595955440501
